dialog_id,type,character_id,option,text,requirements,outputs,extra_characters,comments
development_dummy_intro,0,dummy,,[1]: Hello there!!,,+dummy_intro,,
development_dummy_others,0,dummy,Say Hello,[1]: Hello there again!!,+dummy_intro,,,
development_dummy_mind,1,dummy,Read Mind,"[1]: Noob, he probably thinks I will give him the key.","+dummy_intro,-golden_ball",,,
development_dummy_mind,1,dummy,Read Mind,"[1]: Can't believe this, he looked so noob but he got the GOLDEN BALL!","+dummy_intro,+golden_ball",,,
game_intro,0,town,,"[0]: Nana, after all these years, I'm finally headed to Hollow Island.
[0]: So many dead ends, so many giant boulders...
[0]: But I can feel it, this is it.
[0]: Your last words will make sense if I find it... 
[0]: No, WHEN I find it. 
[0]: The ONE-TREASURE.",+main_menu_only,,,
game_outro,0,town,,"[0]: You reached the end of the game.
[0]: On behalf of the development team
[0]: THANK YOU, WE HOPE YOU ENJOYED IT!",+ending_only,,,
game_start,0,town,,"[0]: Finally here...
[0]: After all the stories...
[0]: Hollow Island!
[0]: Wish we were doing this together Nana...",,+game_start,,
mrtoad_intro,0,mrtoad,,"[0]: Greetings, my name is [0] Topson! 
[0]: I'm in search of the ONE-TREASURE, and any information regarding it.
[1]: HAH! Nobody wants to work anymore, I swear. Always with tha friggin' treasure.
[1]: I'm  [1].
[1]: I run things here in Hollow Town.
[1]: Those who want treasure, give treasure, ya geddit?
[0]: I believe we can come to an understanding, yes.
[0]: Pleasure to meet you [1].
[1]: Sure, yeah, yeah...
[1]: Listen, once you get familiar with the Town and the Island come see me again.
[1]: You might want to help me with something.",-mrtoad_intro,+mrtoad_intro,,
mrtoad_quest_start,0,mrtoad,Quest,"[0]: I believe I'm quite familiar with the Town and the Island by now.
[1]: Yeah, yeah, I see ya got some treasure as well...
[1]: Imma be frank. I don't trust ya. But I do have a request for you... 
[1]: Ya see, I was once the owner of this huge, beautiful bug, made of gold, too!
[1]: Ahh, my cherished, precious, darlin' GOLDEN SCARAB.
[1]: I lost it. Bleh.
[1]: One of the explorers say they saw it deeper in the Island.
[1]: If you can find it for me, I *MIGHT* find myself with a looser tongue about your two-time trinket.
[0]: I'll go search for it then.
[1]: Not so fast squirt, take this key to open the door to the north part of the Island. 
[1]: Don't be a pain in the ass and go dying. I only got one o' those!!!","+mrtoad_quest,+mrtoad_intro,-golden_bug","+mrtoad_quest_start,+temple_key_1",,
mrtoad_quest_complete,0,mrtoad,Give Golden Bug,"[1]: Now that's a SCARAB! 
[1]: *GULP*
[1]: Ah, thas good food, eh? It's the little pleasures, I say.
[1]: Turns out you didn't mind a little work, HUH? 
[1]: HAHAHAHA!
[1]: You know, its coming back to me. Talk to [2], they got the last key you need.
[0]: Sure. Thanks, [1].
[1]: HAH! Sure thing squirt. Don't go dying on me now, I might need another snack soon!","+mrtoad_quest,+golden_bug","+mrtoad_quest_complete,-mrtoad_quest,+drlivingrock_quest",drlivingrock,
mrtoad_hollow_island,0,mrtoad,About Hollow Island,"[1]: Eh, what's to say about it. It's humid, theres arrow traps, flies are an OK size.
[1]: Nothing beats the swamp if you ask me.
[1]: But why the hell are ya asking me? You're the Archeologist! Get outta here!
[1]: Nobody wants to work anymore, I swear...",+mrtoad_intro,,,
mrtoad_others,1,mrtoad,Read mind,"[1]: Another one of these dumbasses in glasses... 
[1]: We gotta start charging an entrance fee or somethin'... Now there's an idea!
[1]: Yeah... Make 'em spend BEFORE they die horribly in the forest!","+mrtoad_intro,-mrtoad_quest_complete",,,
mrtoad_others,1,mrtoad,Read mind,"[1]: The squirts' alright... 
[1]: I hadn't had one of em GOLDEN SCARAB snacks in so long...
[1]: Damn it [1]! Are you going soft?","+mrtoad_intro,+mrtoad_quest_complete",,,
mrtoad_complete_reward,0,mrtoad,About the ONE-TREASURE,"[1]: You know what? I mighta seen something. Lets talk after you get familiar with the Town and the Island, huh?",+mrtoad_intro,,,
golden_bug_pickup,0,golden_bug,,"[0]: This has to be the GOLDEN SCARAB! It's so beautiful and rare and made of gold, too!
[0]: Such a treasure BELONGS in a bug exhibit!
[0]: But I need to find the ONE-TREASURE.
[0]: Ugh, I guess I'll give it to [2] as promised.",-golden_bug,+golden_bug,mrtoad,
lost_soul_random1,0,lost_soul,,"[1]: Hey Stranger, Welcome to Hollow Island.
[1]: What's your name?
[0]: I'm [0] Topson, Top Archeologist!
[1]: Oh, wow, that's ... ehm great. See ya around.",-welcome_to_island,+welcome_to_island,,
lost_soul_random2,0,lost_soul,Say Hello,"[1]: You look... familiar, do I know you?",+welcome_to_island,,,
lost_soul_hollow_island1,0,lost_soul,About Hollow Island,[1]: I like it here in the summer. I like it when people visit... I think...,+welcome_to_island,,,
